job_id,time_submitted,status,walltime,competition_sd,immigration_rate,replicate,f,params_i,dd_model,runtime,nb_clades
25111544,NA,NA,NA,0.369,0,24,1,1,DD,NA,NA
25111545,NA,NA,NA,0.369,0,24,1,2,DD,NA,NA
25111546,NA,NA,NA,0.369,0,24,1,3,DD,NA,NA
25111548,NA,NA,NA,0.369,0,25,1,1,DD,NA,NA
25111547,NA,NA,NA,0.369,0,24,1,4,DD,NA,NA
25111549,NA,NA,NA,0.369,0,25,1,2,DD,NA,NA
25111550,NA,NA,NA,0.369,0,25,1,3,DD,NA,NA
25111583,NA,NA,NA,0.369,0,33,1,4,DD,NA,NA
25111582,NA,NA,NA,0.369,0,33,1,3,DD,NA,NA
25111589,NA,NA,NA,0.369,0,35,1,2,DD,NA,NA
25111588,NA,NA,NA,0.369,0,35,1,1,DD,NA,NA
25111581,NA,NA,NA,0.369,0,33,1,2,DD,NA,NA
25111591,NA,NA,NA,0.369,0,35,1,4,DD,NA,NA
25111590,NA,NA,NA,0.369,0,35,1,3,DD,NA,NA
25111586,NA,NA,NA,0.369,0,34,1,3,DD,NA,NA
25111587,NA,NA,NA,0.369,0,34,1,4,DD,NA,NA
25111594,NA,NA,NA,0.369,0,36,1,3,DD,NA,NA
25111592,NA,NA,NA,0.369,0,36,1,1,DD,NA,NA
25111593,NA,NA,NA,0.369,0,36,1,2,DD,NA,NA
25111565,NA,NA,NA,0.369,0,29,1,2,DD,NA,NA
25111585,NA,NA,NA,0.369,0,34,1,2,DD,NA,NA
25111584,NA,NA,NA,0.369,0,34,1,1,DD,NA,NA
25111567,NA,NA,NA,0.369,0,29,1,4,DD,NA,NA
25111566,NA,NA,NA,0.369,0,29,1,3,DD,NA,NA
25111558,NA,NA,NA,0.369,0,27,1,3,DD,NA,NA
25111553,NA,NA,NA,0.369,0,26,1,2,DD,NA,NA
25111551,NA,NA,NA,0.369,0,25,1,4,DD,NA,NA
25111554,NA,NA,NA,0.369,0,26,1,3,DD,NA,NA
25111572,NA,NA,NA,0.369,0,31,1,1,DD,NA,NA
25111552,NA,NA,NA,0.369,0,26,1,1,DD,NA,NA
25111573,NA,NA,NA,0.369,0,31,1,2,DD,NA,NA
25111556,NA,NA,NA,0.369,0,27,1,1,DD,NA,NA
25111568,NA,NA,NA,0.369,0,30,1,1,DD,NA,NA
25111555,NA,NA,NA,0.369,0,26,1,4,DD,NA,NA
25111570,NA,NA,NA,0.369,0,30,1,3,DD,NA,NA
