batch_id,job_id,time_subm,status,runtime,competition_sd,carrying_cap_sd,dd_model,comrad_version
b92134,20007852,2021-05-11T13:21:32Z,COMPLETED,00:05:11,0.4,2,lc,[1] ‘1.18.0’
b92134,20007853,2021-05-11T13:21:32Z,COMPLETED,00:08:51,0.4,2,ll,[1] ‘1.18.0’
b92134,20007854,2021-05-11T13:21:32Z,COMPLETED,00:10:27,0.4,2,lx,[1] ‘1.18.0’
b92134,20007855,2021-05-11T13:21:34Z,COMPLETED,00:08:13,0.4,2,xc,[1] ‘1.18.0’
b92134,20007856,2021-05-11T13:21:35Z,COMPLETED,00:11:09,0.4,2,xl,[1] ‘1.18.0’
b92134,20007857,2021-05-11T13:21:39Z,COMPLETED,00:13:06,0.4,2,xx,[1] ‘1.18.0’
b92134,20007858,2021-05-11T13:21:46Z,COMPLETED,00:12:34,0.4,2,pc,[1] ‘1.18.0’
b92134,20007859,2021-05-11T13:21:50Z,COMPLETED,00:10:36,0.4,2,lp,[1] ‘1.18.0’
b92134,20007860,2021-05-11T13:21:52Z,COMPLETED,00:11:26,0.4,2,pl,[1] ‘1.18.0’
b92134,20007861,2021-05-11T13:22:05Z,COMPLETED,00:13:49,0.4,2,pp,[1] ‘1.18.0’
b92134,20007862,2021-05-11T13:22:08Z,COMPLETED,00:05:04,0.5,2,lc,[1] ‘1.18.0’
b92134,20007863,2021-05-11T13:22:15Z,COMPLETED,00:07:17,0.5,2,ll,[1] ‘1.18.0’
b92134,20007864,2021-05-11T13:22:40Z,COMPLETED,00:08:11,0.5,2,lx,[1] ‘1.18.0’
b92134,20007865,2021-05-11T13:22:43Z,COMPLETED,00:07:04,0.5,2,xc,[1] ‘1.18.0’
b92134,20007866,2021-05-11T13:22:52Z,COMPLETED,00:08:39,0.5,2,xl,[1] ‘1.18.0’
b92134,20007867,2021-05-11T13:23:02Z,COMPLETED,00:09:57,0.5,2,xx,[1] ‘1.18.0’
b92134,20007869,2021-05-11T13:23:08Z,COMPLETED,00:08:19,0.5,2,lp,[1] ‘1.18.0’
b92134,20007868,2021-05-11T13:23:09Z,COMPLETED,00:09:09,0.5,2,pc,[1] ‘1.18.0’
b92134,20007870,2021-05-11T13:23:14Z,COMPLETED,00:09:25,0.5,2,pl,[1] ‘1.18.0’
b92134,20007871,2021-05-11T13:23:26Z,COMPLETED,00:10:17,0.5,2,pp,[1] ‘1.18.0’
b92134,20007872,2021-05-11T13:23:39Z,COMPLETED,00:07:40,0.6,2,lc,[1] ‘1.18.0’
b92134,20007873,2021-05-11T13:23:40Z,COMPLETED,00:07:07,0.6,2,ll,[1] ‘1.18.0’
b92134,20007874,2021-05-11T13:23:42Z,COMPLETED,00:07:43,0.6,2,lx,[1] ‘1.18.0’
b92134,20007875,2021-05-11T13:23:49Z,COMPLETED,00:10:04,0.6,2,xc,[1] ‘1.18.0’
b92134,20007876,2021-05-11T13:24:38Z,COMPLETED,00:08:17,0.6,2,xl,[1] ‘1.18.0’
b92134,20007877,2021-05-11T13:25:39Z,COMPLETED,00:08:27,0.6,2,xx,[1] ‘1.18.0’
b92134,20007878,2021-05-11T13:26:39Z,COMPLETED,00:08:25,0.6,2,pc,[1] ‘1.18.0’
b92134,20007880,2021-05-11T13:27:39Z,COMPLETED,00:08:13,0.6,2,pl,[1] ‘1.18.0’
b92134,20007879,2021-05-11T13:27:40Z,COMPLETED,00:08:22,0.6,2,lp,[1] ‘1.18.0’
b92134,20007881,2021-05-11T13:27:40Z,COMPLETED,00:08:50,0.6,2,pp,[1] ‘1.18.0’
b92134,20007882,2021-05-11T13:28:40Z,COMPLETED,00:07:56,0.7,2,lc,[1] ‘1.18.0’
b92134,20007883,2021-05-11T13:29:40Z,COMPLETED,00:07:00,0.7,2,ll,[1] ‘1.18.0’
b92134,20007884,2021-05-11T13:30:41Z,COMPLETED,00:06:50,0.7,2,lx,[1] ‘1.18.0’
b92134,20007885,2021-05-11T13:30:41Z,COMPLETED,00:08:10,0.7,2,xc,[1] ‘1.18.0’
b92134,20007886,2021-05-11T13:30:41Z,COMPLETED,00:08:04,0.7,2,xl,[1] ‘1.18.0’
b92134,20007887,2021-05-11T13:30:41Z,COMPLETED,00:07:54,0.7,2,xx,[1] ‘1.18.0’
b92134,20007888,2021-05-11T13:31:41Z,COMPLETED,00:07:37,0.7,2,pc,[1] ‘1.18.0’
b92134,20007889,2021-05-11T13:31:41Z,COMPLETED,00:06:48,0.7,2,lp,[1] ‘1.18.0’
b92134,20007890,2021-05-11T13:31:42Z,COMPLETED,00:08:10,0.7,2,pl,[1] ‘1.18.0’
b92134,20007891,2021-05-11T13:31:42Z,COMPLETED,00:07:58,0.7,2,pp,[1] ‘1.18.0’
b92134,20007893,2021-05-11T13:32:42Z,COMPLETED,00:06:13,0.8,2,ll,[1] ‘1.18.0’
b92134,20007892,2021-05-11T13:32:42Z,COMPLETED,00:02:59,0.8,2,lc,[1] ‘1.18.0’
b92134,20007894,2021-05-11T13:32:42Z,COMPLETED,00:05:42,0.8,2,lx,[1] ‘1.18.0’
b92134,20007897,2021-05-11T13:33:42Z,COMPLETED,00:06:28,0.8,2,xx,[1] ‘1.18.0’
b92134,20007899,2021-05-11T13:33:42Z,COMPLETED,00:05:29,0.8,2,lp,[1] ‘1.18.0’
b92134,20007898,2021-05-11T13:33:42Z,COMPLETED,00:08:04,0.8,2,pc,[1] ‘1.18.0’
b92134,20007896,2021-05-11T13:33:43Z,COMPLETED,00:07:38,0.8,2,xl,[1] ‘1.18.0’
b92134,20007895,2021-05-11T13:33:43Z,COMPLETED,00:05:50,0.8,2,xc,[1] ‘1.18.0’
b92134,20007902,2021-05-11T13:34:43Z,COMPLETED,00:03:41,0.9,2,lc,[1] ‘1.18.0’
