job_id,time_subm,status,runtime,competition_sd,carrying_cap_sd,dd_model,tree,comrad_version,DDD_version
20650159,2021-06-22T23:52:57Z,COMPLETED,00:00:46,0.1,1,lx,47,1.18.0,4.4.1
20650147,2021-06-22T23:52:58Z,COMPLETED,00:00:49,0.1,1,lx,35,1.18.0,4.4.1
20650146,2021-06-22T23:52:58Z,COMPLETED,00:00:51,0.1,1,lx,34,1.18.0,4.4.1
20650148,2021-06-22T23:52:58Z,COMPLETED,00:00:51,0.1,1,lx,36,1.18.0,4.4.1
20650145,2021-06-22T23:52:58Z,COMPLETED,00:00:52,0.1,1,lx,33,1.18.0,4.4.1
20650149,2021-06-22T23:52:58Z,COMPLETED,00:00:47,0.1,1,lx,37,1.18.0,4.4.1
20650152,2021-06-22T23:52:58Z,COMPLETED,00:00:56,0.1,1,lx,40,1.18.0,4.4.1
20650150,2021-06-22T23:52:58Z,COMPLETED,00:00:49,0.1,1,lx,38,1.18.0,4.4.1
20650151,2021-06-22T23:52:58Z,COMPLETED,00:00:48,0.1,1,lx,39,1.18.0,4.4.1
20650153,2021-06-22T23:52:58Z,COMPLETED,00:00:50,0.1,1,lx,41,1.18.0,4.4.1
20650154,2021-06-22T23:52:58Z,COMPLETED,00:00:44,0.1,1,lx,42,1.18.0,4.4.1
20650155,2021-06-22T23:52:58Z,COMPLETED,00:00:52,0.1,1,lx,43,1.18.0,4.4.1
20650156,2021-06-22T23:52:58Z,COMPLETED,00:00:51,0.1,1,lx,44,1.18.0,4.4.1
20650158,2021-06-22T23:52:58Z,COMPLETED,00:00:48,0.1,1,lx,46,1.18.0,4.4.1
