batch_id,job_id,time_subm,status,runtime,nb_gens,competition_sd,carrying_cap_sd,carrying_cap_opt,trait_opt,growth_rate,prob_mutation,mutation_sd,trait_dist_sp,switch_carr_cap_sd_after,switch_carr_cap_sd_to,seed,comrad_version,sampling_on_event,sampling_freq,sampling_frac,brute_force_opt,csv_size,t_last_gen,d_last_gen,n_last_gen
b11572,21501802,2021-09-25T16:55:06Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,24428,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501803,2021-09-25T16:55:08Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,34236,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501808,2021-09-25T16:55:10Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,31883,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501806,2021-09-25T16:55:10Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,32688,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501805,2021-09-25T16:55:10Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,32351,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501807,2021-09-25T16:55:10Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,41314,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501804,2021-09-25T16:55:10Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,28139,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501809,2021-09-25T16:55:11Z,COMPLETED,NA,86000,0.2,1,1000,0,1,1,0.001,0.1,NA,NA,48790,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501810,2021-09-25T16:55:12Z,COMPLETED,NA,142000,0.3,1,1000,0,1,1,0.001,0.1,NA,NA,38433,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
b11572,21501811,2021-09-25T16:55:12Z,COMPLETED,NA,120000,0.1,1,1000,0,1,1,0.001,0.1,NA,NA,46229,[1] ‘1.19.0’,TRUE,NA,0.05,simd_omp,    NA,NA,NA,NA
